Entity,Year,Coal production (The SHIFT Project)
Afghanistan,1949,0.040705
Afghanistan,1950,0.113974001
Afghanistan,1951,0.122115001
Afghanistan,1952,0.138397001
Afghanistan,1953,0.130256001
Afghanistan,1954,0.122115001
Afghanistan,1955,0.187243002
Afghanistan,1956,0.187243002
Afghanistan,1957,0.236089002
Afghanistan,1958,0.276794003
Afghanistan,1959,0.333781003
Afghanistan,1960,0.390768004
Afghanistan,1961,0.537306005
Afghanistan,1962,0.911792009
Afghanistan,1963,0.805959008
Afghanistan,1964,0.919933009
Afghanistan,1965,1.172304012
Afghanistan,1966,1.318842013
Afghanistan,1967,1.229291012
Afghanistan,1968,1.01762501
Afghanistan,1969,1.107176011
Afghanistan,1970,1.335124013
Afghanistan,1971,1.099035011
Afghanistan,1972,0.578011006
Afghanistan,1973,0.952497009
Afghanistan,1974,0.936215009
Afghanistan,1975,1.221150012
Afghanistan,1976,1.302560013
Afghanistan,1977,1.383970014
Afghanistan,1978,1.774738017
Afghanistan,1979,1.074612011
Afghanistan,1980,0.767272965
Afghanistan,1981,0.805959008
Afghanistan,1982,0.934912466
Afghanistan,1983,0.934912466
Afghanistan,1984,0.954255458
Afghanistan,1985,0.973598509
Afghanistan,1986,1.031627545
Afghanistan,1987,1.076761252
Afghanistan,1988,0.889778759
Afghanistan,1989,0.818854336
Afghanistan,1990,0.677005551
Afghanistan,1991,0.606081187
Afghanistan,1992,0.281182988
Afghanistan,1993,0.306844728
Afghanistan,1994,0.33573027
Afghanistan,1995,0.366550152
Afghanistan,1996,0.399239858
Afghanistan,1997,0.433412519
Afghanistan,1998,0.457784737
Afghanistan,1999,0.515985317
Afghanistan,2000,0.550525141
Afghanistan,2001,0.177127288
Afghanistan,2002,0.143064334
Afghanistan,2003,0.238440556
Afghanistan,2004,0.231627978
Afghanistan,2005,0.224815338
Afghanistan,2006,0.238440556
Afghanistan,2007,1.655458614
Afghanistan,2008,2.363967643
Afghanistan,2009,3.406293452
Afghanistan,2010,4.939125529
Afghanistan,2011,4.939125529
Afghanistan,2012,5.109413767
Afghanistan,2013,5.142743297
Afghanistan,2014,5.176290241
Albania,1946,0.065128001
Albania,1948,0.016282
Albania,1950,0.166890502
Albania,1951,0.211666002
Albania,1952,0.321569503
Albania,1953,0.427402504
Albania,1954,0.606504506
Albania,1955,0.793747508
Albania,1956,0.911792009
Albania,1957,0.960638009
Albania,1958,1.04204801
Albania,1959,1.05833001
Albania,1960,1.184515512
Albania,1961,1.176374512
Albania,1962,1.225220512
Albania,1963,1.02576601
Albania,1964,1.188586012
Albania,1965,1.347335513
Albania,1966,1.603777016
Albania,1967,1.628200016
Albania,1968,1.766597017
Albania,1969,2.409736024
Albania,1970,2.466723024
Albania,1971,2.747587527
Albania,1972,3.01217003
Albania,1973,3.301175532
Albania,1974,3.459925034
Albania,1975,3.459925034
Albania,1976,3.663450036
Albania,1977,3.866975038
Albania,1978,4.151910041
Albania,1979,5.698700056
Albania,1980,3.517068542
Albania,1981,3.819665399
Albania,1982,4.216513758
Albania,1983,4.588559104
Albania,1984,4.985407441
Albania,1985,5.33264975
Albania,1986,5.374814903
Albania,1987,5.292964919
Albania,1988,5.416980034
Albania,1989,5.439302749
Albania,1990,5.13422557
Albania,1991,2.69608851
Albania,1992,0.907790615
Albania,1993,0.530784671
Albania,1994,0.419543127
Albania,1995,0.19842221
Albania,1996,0.280274142
Albania,1997,0.10156734
Albania,1998,0.127609403
Albania,1999,0.127610284
Albania,2000,0.078128739
Albania,2001,0.054690122
Albania,2002,0.200530423
Albania,2003,0.210947599
Albania,2004,0.210947599
Albania,2005,0.166674654
Albania,2006,0.166674654
Albania,2007,0.166674654
Albania,2008,0.221364775
Albania,2009,0.036460081
Albania,2010,0.036460081
Albania,2011,0.023438617
Albania,2012,0.052085474
Albania,2013,0.050131177
Albania,2014,0.048016795
Algeria,1917,0.016282
Algeria,1918,0.04697357
Algeria,1919,0.051980286
Algeria,1920,0.055114571
Algeria,1921,0.073269001
Algeria,1922,0.073269001
Algeria,1923,0.032564
Algeria,1924,0.073269001
Algeria,1925,0.081410001
Algeria,1926,0.113974001
Algeria,1927,0.170961002
Algeria,1928,0.138397001
Algeria,1929,0.130256001
Algeria,1930,0.138397001
Algeria,1931,0.170961002
Algeria,1932,0.203525002
Algeria,1933,0.244230002
Algeria,1934,0.276794003
Algeria,1935,0.309358003
Algeria,1936,0.056987001
Algeria,1937,0.113974001
Algeria,1938,0.105833001
Algeria,1939,0.154679002
Algeria,1940,0.447755004
Algeria,1941,0.651280006
Algeria,1942,1.204868012
Algeria,1943,0.952497009
Algeria,1944,0.97692001
Algeria,1945,1.318842013
Algeria,1946,1.750315017
Algeria,1947,1.677046017
Algeria,1948,1.839866018
Algeria,1949,2.157365021
Algeria,1950,2.100378021
Algeria,1951,2.01082702
Algeria,1952,2.189929022
Algeria,1953,2.401595024
Algeria,1954,2.466723024
Algeria,1955,2.450441024
Algeria,1956,2.417877024
Algeria,1957,1.921276019
Algeria,1958,1.245573012
Algeria,1959,0.99320201
Algeria,1960,0.96877901
Algeria,1961,0.537306005
Algeria,1962,0.431473004
Algeria,1963,0.309358003
Algeria,1964,0.374486004
Algeria,1965,0.366345004
Algeria,1966,0.032564
Algeria,1967,0.138397001
Algeria,1969,0.154679002
Algeria,1970,0.105833001
Algeria,1971,0.113974001
Algeria,1972,0.097692001
Algeria,1973,0.105833001
Algeria,1974,0.105833001
Algeria,1975,0.097692001
Algeria,1976,0.065128001
Algeria,1977,0.048846
Algeria,1978,0.040705
Algeria,1979,0.040705
Algeria,1980,0.050063539
Algeria,1981,0.050063539
Algeria,1982,0.050063539
Algeria,1983,0.050063539
Algeria,1984,0.050063539
Algeria,1985,0.057215464
Algeria,1986,0.064367389
Algeria,1987,0.057215464
Algeria,1988,0.071519314
Algeria,1989,0.107279003
Algeria,1990,0.071519314
Algeria,1991,0.107279003
Algeria,1992,0.107279003
Algeria,1993,0.143038692
Algeria,1994,0.143038692
Algeria,1995,0.162478113
Algeria,1996,0.08862445
Algeria,1997,0.074938683
Algeria,1998,0.054500408
Algeria,1999,0.034062954
Argentina,1939,0.006862863
Argentina,1940,0.006862863
Argentina,1941,0.006862863
Argentina,1942,0.027451452
Argentina,1943,0.061765768
Argentina,1944,0.034314315
Argentina,1945,0.020588589
Argentina,1946,0.020588589
Argentina,1947,0.096080083
Argentina,1948,0.123531535
Argentina,1949,0.123531535
Argentina,1950,0.17843444
Argentina,1951,0.274514523
Argentina,1952,0.768640664
Argentina,1953,0.569617635
Argentina,1954,0.638246265
Argentina,1955,0.933349377
Argentina,1956,1.111783817
Argentina,1957,1.585321369
Argentina,1958,1.791207261
Argentina,1959,2.065721783
Argentina,1960,1.859835891
Argentina,1961,2.333373443
Argentina,1962,1.962778837
Argentina,1963,1.420612655
Argentina,1964,2.278470538
Argentina,1965,2.566710787
Argentina,1966,2.450042115
Argentina,1967,2.779459542
Argentina,1968,3.239271368
Argentina,1969,3.520648754
Argentina,1970,4.22752365
Argentina,1971,4.337329459
Argentina,1972,4.762826969
Argentina,1973,3.10887697
Argentina,1974,4.29615228
Argentina,1975,3.44515726
Argentina,1976,4.220660787
Argentina,1977,3.657906015
Argentina,1978,2.978482571
Argentina,1979,4.98930145
Argentina,1980,2.221756423
Argentina,1981,2.837012065
Argentina,1982,2.933857841
Argentina,1983,2.768650309
Argentina,1984,2.893980159
Argentina,1985,2.278724518
Argentina,1986,2.073639304
Argentina,1987,2.124910646
Argentina,1988,2.916767428
Argentina,1989,2.933857841
Argentina,1990,1.57801676
Argentina,1991,1.663468928
Argentina,1992,1.320201975
Argentina,1993,1.091454149
Argentina,1994,2.274407392
Argentina,1995,1.993374284
Argentina,1996,2.032588215
Argentina,1997,1.633913371
Argentina,1998,1.888803838
Argentina,1999,2.193364957
Argentina,2000,1.694825389
Argentina,2001,1.218507048
Argentina,2002,0.631409383
Argentina,2003,0.581673064
Argentina,2004,0.33331828
Argentina,2005,0.163391288
Argentina,2006,0.921526989
Argentina,2007,0.718921775
Argentina,2008,0.60572429
Argentina,2009,0.535923494
Argentina,2010,0.42481742
Argentina,2011,0.588208709
Argentina,2012,0.522847596
Argentina,2013,0.440289961
Argentina,2014,0.483438377
Australia,1900,42.51914086
Australia,1901,45.84176793
Australia,1902,45.6779303
Australia,1903,47.3556276
Australia,1904,45.63860927
Australia,1905,49.90494107
Australia,1906,57.23831323
Australia,1907,64.46027581
Australia,1908,67.87465195
Australia,1909,54.50550162
Australia,1910,64.8338256
Australia,1911,70.2666813
Australia,1912,78.10467336
Australia,1913,82.66591288
Australia,1914,82.84941103
Australia,1915,75.99444473
Australia,1916,65.32667361
Australia,1917,68.00341815
Australia,1918,72.75361843
Australia,1919,70.20730085
Australia,1920,85.6897164
Australia,1921,85.42296025
Australia,1922,81.5328892
Australia,1923,83.65513394
Australia,1924,91.94539926
Australia,1925,93.04986432
Australia,1926,90.91277853
Australia,1927,93.87114469
Australia,1928,83.02489842
Australia,1929,73.59299624
Australia,1930,68.28146587
Australia,1931,61.70993663
Australia,1932,64.04377411
Australia,1933,67.32550079
Australia,1934,70.66940843
Australia,1935,78.34427113
Australia,1936,83.71304902
Australia,1937,89.32306916
Australia,1938,87.67067409
Australia,1939,99.72426323
Australia,1940,89.3276444
Australia,1941,106.6391066
Australia,1942,112.207339
Australia,1943,107.8977296
Australia,1944,104.7881281
Australia,1945,99.90663792
Australia,1946,107.443991
Australia,1947,114.900162
Australia,1948,116.030548
Australia,1949,113.3137904
Australia,1950,129.3000118
Australia,1951,137.7424487
Australia,1952,150.3614384
Australia,1953,143.5549029
Australia,1954,154.7216441
Australia,1955,153.4395831
Australia,1956,154.3947992
Australia,1957,158.05575
Australia,1958,162.605991
Australia,1959,164.1600102
Australia,1960,182.8912384
Australia,1961,194.6772573
Australia,1962,199.0764014
Australia,1963,204.8122814
Australia,1964,222.0631989
Australia,1965,251.3351986
Australia,1966,264.6912175
Australia,1967,277.4564929
Australia,1968,309.3358758
Australia,1969,340.2657983
Australia,1970,360.2369985
Australia,1971,338.3575397
Australia,1972,410.2103728
Australia,1973,418.6234207
Australia,1974,441.0777073
Australia,1975,462.0402045
Australia,1976,514.5784741
Australia,1977,546.0869938
Australia,1978,549.1309056
Australia,1979,574.3763341
Australia,1980,504.6449523
Australia,1981,605.4679341
Australia,1982,617.0258038
Australia,1983,700.5492635
Australia,1984,760.4818416
Australia,1985,819.6510158
Australia,1986,892.0422936
Australia,1987,1011.162913
Australia,1988,889.9336313
Australia,1989,988.8985313
Australia,1990,1051.140481
Australia,1991,1129.279876
Australia,1992,1173.51653
Australia,1993,1178.242069
Australia,1994,1211.99861
Australia,1995,1307.958451
Australia,1996,1329.823418
Australia,1997,1510.962988
Australia,1998,1619.349824
Australia,1999,1661.413129
Australia,2000,1766.949495
Australia,2001,1948.779708
Australia,2002,2005.707669
Australia,2003,2019.237935
Australia,2004,2100.813638
Australia,2005,2208.67177
Australia,2006,2239.864287
Australia,2007,2359.438867
Australia,2008,2366.288234
Australia,2009,2462.976455
Australia,2010,2570.347309
Australia,2011,2437.512973
Australia,2012,2537.676957
Australia,2013,2723.558626
Australia,2014,2851.820076
Austria,1900,172.5256205
Austria,1901,182.1991557
Austria,1902,175.2618106
Austria,1903,179.0190694
Austria,1904,181.3759296
Austria,1905,189.930635
Austria,1906,202.8456193
Austria,1907,213.9866511
Austria,1908,215.9903507
Austria,1909,212.0309957
Austria,1910,209.0159071
Austria,1911,214.4581819
Austria,1912,229.9301241
Austria,1913,239.5365775
Austria,1914,217.4591662
Austria,1915,217.668394
Austria,1916,152.8542452
Austria,1917,9.689031598
Austria,1918,9.371215096
Austria,1919,8.477341428
Austria,1920,10.36887837
Austria,1921,10.67941682
Austria,1922,13.43994447
Austria,1923,11.64017288
Austria,1924,12.13962323
Austria,1925,12.84495948
Austria,1926,12.68052756
Austria,1927,13.24381149
Austria,1928,14.22257544
Austria,1929,15.28136949
Austria,1930,13.56559673
Austria,1931,13.35105289
Austria,1932,13.76434704
Austria,1933,13.56781109
Austria,1934,13.03332187
Austria,1935,13.57730349
Austria,1936,13.15365399
Austria,1937,14.36957341
Austria,1938,14.72291723
Austria,1939,15.3854766
Austria,1940,15.78726344
Austria,1941,15.47416465
Austria,1942,15.41205696
Austria,1943,16.3043757
Austria,1944,15.76146054
Austria,1945,8.550093475
Austria,1946,10.15764384
Austria,1947,12.3927717
Austria,1948,14.3162987
Austria,1949,16.19958068
Austria,1950,18.09612434
Austria,1951,20.82705131
Austria,1952,21.51061038
Austria,1953,22.80529397
Austria,1954,25.66814585
Austria,1955,26.90679087
Austria,1956,27.29396462
Austria,1957,27.74664086
Austria,1958,26.18071543
Austria,1959,25.07137798
Austria,1960,24.09911462
Austria,1961,22.6847624
Austria,1962,22.82436834
Austria,1963,24.1795477
Austria,1964,22.69888703
Austria,1965,21.48063929
Austria,1966,20.53567677
Austria,1967,17.86130533
Austria,1968,16.1013473
Austria,1969,14.80614675
Austria,1970,14.14698218
Austria,1971,14.53245854
Austria,1972,14.47849185
Austria,1973,14.0082107
Austria,1974,13.98893688
Austria,1975,13.09463174
Austria,1976,12.39306477
Austria,1977,12.05770035
Austria,1978,11.85725264
Austria,1979,10.56590686
Austria,1980,8.810581231
Austria,1981,9.413329527
Austria,1982,10.1390877
Austria,1983,9.351824589
Austria,1984,9.004321745
Austria,1985,9.474834465
Austria,1986,9.130406863
Austria,1987,8.567636751
Austria,1988,6.547199782
Austria,1989,6.353459269
Austria,1990,7.528203433
Austria,1991,6.399587965
Austria,1992,4.864420403
Austria,1993,4.645179328
Austria,1994,3.759441216
Austria,1995,3.564466535
Austria,1996,3.045449467
Austria,1997,3.261171947
Austria,1998,3.32034075
Austria,1999,2.942253271
Austria,2000,3.238924259
Austria,2001,3.132759778
Austria,2002,3.667874632
Austria,2003,2.992486961
Austria,2004,0.610446558
Bangladesh,2005,0.426308402
Bangladesh,2006,2.496949335
Bangladesh,2007,1.998666771
Bangladesh,2008,4.650637362
