Entity,Year,First 28 days (number of deaths),29 days - 1 year (number of deaths),1-4 years (number of deaths)
Bolivia,2009,6005,3530,2705
Bolivia,2010,5800,3289,2520
Bolivia,2011,5608,3098,2362
Bolivia,2012,5441,2929,2226
Bolivia,2013,5290,2781,2102
Bolivia,2014,5137,2660,1992
Bolivia,2015,5028,2507,1890
Bolivia,2016,4867,2429,1797
Bolivia,2017,4697,2378,1720
Bosnia and Herzegovina,1989,781,406,160
Bosnia and Herzegovina,1990,725,330,146
Bosnia and Herzegovina,1991,671,262,136
Bosnia and Herzegovina,1992,616,248,241
Bosnia and Herzegovina,1993,559,220,251
Bosnia and Herzegovina,1994,505,176,149
Bosnia and Herzegovina,1995,457,161,147
Bosnia and Herzegovina,1996,413,136,82
Bosnia and Herzegovina,1997,372,125,75
Bosnia and Herzegovina,1998,335,115,67
Bosnia and Herzegovina,1999,300,104,64
Bosnia and Herzegovina,2000,269,99,57
Bosnia and Herzegovina,2001,242,93,55
Bosnia and Herzegovina,2002,222,90,50
Bosnia and Herzegovina,2003,207,89,46
Bosnia and Herzegovina,2004,196,85,46
Bosnia and Herzegovina,2005,189,83,41
Bosnia and Herzegovina,2006,185,75,41
Bosnia and Herzegovina,2007,182,68,38
Bosnia and Herzegovina,2008,180,57,37
Bosnia and Herzegovina,2009,176,48,35
Bosnia and Herzegovina,2010,170,43,32
Bosnia and Herzegovina,2011,163,36,33
Bosnia and Herzegovina,2012,156,35,29
Bosnia and Herzegovina,2013,149,34,28
Bosnia and Herzegovina,2014,143,32,28
Bosnia and Herzegovina,2015,138,31,27
Bosnia and Herzegovina,2016,134,31,26
Bosnia and Herzegovina,2017,130,29,27
Botswana,1966,1082,1617,1121
Botswana,1967,1084,1605,1102
Botswana,1968,1083,1596,1083
Botswana,1969,1085,1581,1062
Botswana,1970,1087,1565,1040
Botswana,1971,1091,1542,1014
Botswana,1972,1102,1512,986
Botswana,1973,1116,1476,957
Botswana,1974,1130,1435,925
Botswana,1975,1149,1385,891
Botswana,1976,1168,1333,855
Botswana,1977,1189,1278,820
Botswana,1978,1207,1221,785
Botswana,1979,1222,1165,748
Botswana,1980,1232,1108,713
Botswana,1981,1239,1044,676
Botswana,1982,1236,985,642
Botswana,1983,1230,917,611
Botswana,1984,1220,850,582
Botswana,1985,1211,780,551
Botswana,1986,1202,715,525
Botswana,1987,1197,660,508
Botswana,1988,1194,624,502
Botswana,1989,1191,615,514
Botswana,1990,1188,636,551
Botswana,1991,1186,685,620
Botswana,1992,1186,755,720
Botswana,1993,1186,829,836
Botswana,1994,1188,905,978
Botswana,1995,1192,980,1136
Botswana,1996,1197,1050,1287
Botswana,1997,1204,1106,1434
Botswana,1998,1213,1145,1566
Botswana,1999,1228,1157,1666
Botswana,2000,1250,1116,1767
Botswana,2001,1277,1050,1773
Botswana,2002,1315,965,1716
Botswana,2003,1358,870,1640
Botswana,2004,1404,766,1519
Botswana,2005,1449,560,1391
Botswana,2006,1491,468,1160
Botswana,2007,1523,488,947
Botswana,2008,1538,488,851
Botswana,2009,1548,451,735
Botswana,2010,1551,387,557
Botswana,2011,1543,450,489
Botswana,2012,1531,376,465
Botswana,2013,1507,317,422
Botswana,2014,1477,340,401
Botswana,2015,1439,316,393
Botswana,2016,1395,314,372
Botswana,2017,1346,283,357
Brazil,1964,159886,208987,113623
Brazil,1965,160561,204129,112351
Brazil,1966,161233,198602,110880
Brazil,1967,161404,192962,109146
Brazil,1968,161118,187472,107098
