Entity,Year,biomass_nox_per_capita,brown_coal_nox_per_capita,coal_coke_nox_per_capita,diesel_oil_nox_per_capita,hard_coal_nox_per_capita,heavy_oil_nox_per_capita,light_oil_nox_per_capita,natural_gas_nox_per_capita,process_nox_per_capita,biomass_so2_per_capita,brown_coal_so2_per_capita,coal_coke_so2_per_capita,diesel_oil_so2_per_capita,hard_coal_so2_per_capita,heavy_oil_so2_per_capita,light_oil_so2_per_capita,natural_gas_so2_per_capita,process_so2_per_capita,biomass_co_per_capita,brown_coal_co_per_capita,coal_coke_co_per_capita,diesel_oil_co_per_capita,hard_coal_co_per_capita,heavy_oil_co_per_capita,light_oil_co_per_capita,natural_gas_co_per_capita,process_co_per_capita,biomass_oc_per_capita,brown_coal_oc_per_capita,coal_coke_oc_per_capita,diesel_oil_oc_per_capita,hard_coal_oc_per_capita,heavy_oil_oc_per_capita,light_oil_oc_per_capita,natural_gas_oc_per_capita,process_oc_per_capita,biomass_nmvoc_per_capita,brown_coal_nmvoc_per_capita,coal_coke_nmvoc_per_capita,diesel_oil_nmvoc_per_capita,hard_coal_nmvoc_per_capita,heavy_oil_nmvoc_per_capita,light_oil_nmvoc_per_capita,natural_gas_nmvoc_per_capita,process_nmvoc_per_capita,biomass_bc_per_capita,brown_coal_bc_per_capita,coal_coke_bc_per_capita
Afghanistan,1805,0.0467024380835673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1679500581034677,0.0528869922023923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.89461354843689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0700349378226037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.950458436858139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0997118071807228,0.6194799385168567,0.0,0.0
Afghanistan,1806,0.0468863380398503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1692253519890994,0.0530952450464207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.1068340979872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0781861040184357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9699518322241465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1001187941488073,0.6219192615647774,0.0,0.0
Afghanistan,1807,0.0470701833437756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1704955711797826,0.0533034360007719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.318991578717075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.086334847807762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9894394344402135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.100525781116892,0.6243578596818293,0.0,0.0
Afghanistan,1808,0.0472539739953432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1717804150818917,0.053511565065446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.531085990626224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0944811691905887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0089212435064026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1009327680849765,0.626795732868009,0.0,0.0
Afghanistan,1809,0.0474377099945536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.173070053971354,0.0537196322404433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.74311733371494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.102625068166927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.028397259422683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1013397550530609,0.6292328811233201,0.0,0.0
Afghanistan,1810,0.0476213913414064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1743644878481689,0.0539276375257637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.95508560798292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1107665447367623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.047867482189085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.101746742021146,0.6316693044477592,0.0,0.0
Afghanistan,1811,0.0478123004616332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1756928773558808,0.0541438277198329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.17539473272469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.119228384525753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.06810384893311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1021706867795673,0.6342015998677286,0.0,0.0
Afghanistan,1812,0.04800314723046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1770262616420856,0.0543599473056399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.39563190395092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.127687460656537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.08833360642878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1025946315379887,0.6367330682336311,0.0,0.0
Afghanistan,1813,0.0481939316478868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.178364640706782,0.0545759962831844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.61579712166158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1361437731291097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.108556754676006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10301857629641,0.6392637095454634,0.0,0.0
Afghanistan,1814,0.048384653713914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1797080145499713,0.0547919746524667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.83589038585671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.144597321943488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.128773293674877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1034425210548314,0.6417935238032286,0.0,0.0
Afghanistan,1815,0.0485753134285408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1810563831716536,0.0550078824134865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.05591169653628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.153048107099643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.148983223425335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.103866465813253,0.6443225110069236,0.0,0.0
Afghanistan,1816,0.048765910791768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1823995072759185,0.0552237195662439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.27586105370031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1614961285976007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.169186543927409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1042904105716744,0.6468506711565548,0.0,0.0
Afghanistan,1817,0.0489564458035951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1837578238314317,0.055439486110739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.495738457348786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1699413864373476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.189383255181098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.104714355330096,0.6493780042521159,0.0,0.0
Afghanistan,1818,0.0491469184640222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1851211351654368,0.0556551820469716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.71554390748171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1783838806188873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.209573357186373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1051383000885173,0.6519045102936067,0.0,0.0
