Entity,Year,CO2 traded as percentage of domestic emissions production (Global Carbon Project (2014))
Europe,1990,-1.451888475
Europe,1991,0.735175901
Europe,1992,-4.761691453
Europe,1993,-1.925234344
Europe,1994,0.903222751
Europe,1995,1.300554225
Europe,1996,3.352047326
Europe,1997,3.685550819
Europe,1998,4.058832054
Europe,1999,3.461891004
Europe,2000,4.289003343
Europe,2001,4.457035459
Europe,2002,5.923932725
Europe,2003,5.917229615
Europe,2004,8.315787205
Europe,2005,9.310526127
Europe,2006,11.46592522
Europe,2007,13.58869151
Europe,2008,13.18937741
Europe,2009,11.98266433
Europe,2010,11.72784981
Europe,2011,13.00625538
Europe,2012,10.47945967
Europe,2013,9.943065743
Europe,2014,10.39947146
Finland,1990,46.11754395
Finland,1991,36.15481276
Finland,1992,103.9573915
Finland,1993,57.03073482
Finland,1994,29.07192182
Finland,1995,31.96719803
Finland,1996,17.07158099
Finland,1997,18.70947344
Finland,1998,21.74993887
Finland,1999,28.19102496
Finland,2000,35.06779047
Finland,2001,28.98687756
Finland,2002,21.86892041
Finland,2003,22.70218856
Finland,2004,34.66363592
Finland,2005,49.49437676
Finland,2006,43.17583003
Finland,2007,47.17966434
Finland,2008,51.12764417
Finland,2009,34.19842689
Finland,2010,34.0273501
Finland,2011,38.39649015
Finland,2012,48.58557816
Finland,2013,42.21992513
Finland,2014,50.08721444
France,1990,26.95197583
