Entity,Year,cum_sum_regions,global_share_land_use_extent,foraging,extensive_agriculture,intensive_agriculture,pastoralism,urban,foraging_onset_date,foraging_decline_date,extensive_agriculture_onset,extensive_agriculture_decline,pastoralism_onset,pastoralism_decline,intensive_agriculture_onset,intensive_agriculture_decline,urban_onset,urban_decline
Greenland,-4000,,,,,,,Absent,,,,,,,,,,
Greenland,-2000,,,Minimal,,,,Absent,,,,,,,,,,
Greenland,-1000,,,Common,,,,Absent,,,,,,,,,,
Greenland,0,,,Common,,,,Absent,,,,,,,,,,
Greenland,1000,,,Common,,Minimal,Common,Absent,,,,,,,,,,
Greenland,1500,,,Common,,,,Absent,,,,,,,,,,
Greenland,1750,,,Common,,,Minimal,Absent,,,,,,,,,,
Greenland,1850,,,Common,,Minimal,Minimal,Absent,,,,,,,,,,
Grenada,-8000,,,,,,,Absent,,,,,,,,,,
Grenada,-6000,,,Minimal,,,,Absent,,,,,,,,,,
Grenada,-4000,,,Minimal,,,,Absent,,,,,,,,,,
Grenada,-2000,,,Common,Minimal,,,Absent,,,,,,,,,,
Grenada,-1000,,,Common,Minimal,,,Absent,,,,,,,,,,
Grenada,0,,,Widespread,Common,,,Absent,-2000.0,1900.0,0.0,1900.0,1900.0,1900.0,1800.0,1900.0,1800.0,1900.0
Grenada,1000,,,Widespread,Common,,,Absent,,,,,,,,,,
Grenada,1500,,,Widespread,Common,Minimal,,Absent,,,,,,,,,,
Grenada,1750,,,Common,Common,Widespread,Minimal,Present,,,,,,,,,,
Grenada,1850,,,Common,Common,Widespread,Common,Present,,,,,,,,,,
Guinea,-8000,,,Widespread,,,,Absent,,,,,,,,,,
Guinea,-6000,,,Widespread,,,,Absent,,,,,,,,,,
Guinea,-4000,,,Widespread,,,,Absent,,,,,,,,,,
Guinea,-2000,,,Widespread,,,,Absent,,,,,,,,,,
Guinea,-1000,,,Widespread,,,,Absent,,,,,,,,,,
Guinea,0,,,Widespread,Widespread,,,Absent,,,,,,,,,,
Guinea,1000,,,Widespread,Common,Common,,Present,,,,,,,,,,
Guinea,1500,,,Widespread,Minimal,Widespread,,Present,,,,,,,,,,
Guinea,1750,,,Widespread,Common,Widespread,,Present,,,,,,,,,,
Guinea,1850,,,Widespread,Common,Widespread,,Present,,,,,,,,,,
Guinea-Bissau,-8000,,,Widespread,,,,Absent,,,,,,,,,,
Guinea-Bissau,-6000,,,Widespread,,,,Absent,,,,,,,,,,
Guinea-Bissau,-4000,,,Widespread,,,,Absent,,,,,,,,,,
Guinea-Bissau,-2000,,,Widespread,,,,Absent,,,,,,,,,,
Guinea-Bissau,-1000,,,Widespread,,,,Absent,,,,,,,,,,
Guinea-Bissau,0,,,Common,Widespread,Minimal,Widespread,Absent,-8000.0,1900.0,0.0,1900.0,0.0,1900.0,1000.0,1900.0,1550.0,1900.0
Guinea-Bissau,1000,,,Common,Widespread,Common,Widespread,Split,,,,,,,,,,
Guinea-Bissau,1500,,,Common,Common,Widespread,Widespread,Present,,,,,,,,,,
Guinea-Bissau,1750,,,Common,Common,Widespread,Widespread,Present,,,,,,,,,,
Guinea-Bissau,1850,,,Common,Common,Widespread,Widespread,Present,,,,,,,,,,
Guyana,-8000,,,,,,,Absent,,,,,,,,,,
Guyana,-6000,,,Minimal,,,,Absent,,,,,,,,,,
Guyana,-4000,,,Minimal,,,,Absent,,,,,,,,,,
Guyana,-2000,,,Common,Minimal,,,Absent,,,,,,,,,,
Guyana,-1000,,,Common,Minimal,,,Absent,,,,,,,,,,
Guyana,0,,,Widespread,Common,,,Absent,-2000.0,1900.0,0.0,1900.0,1900.0,1900.0,1800.0,1900.0,1800.0,1900.0
Guyana,1000,,,Widespread,Common,,,Absent,,,,,,,,,,
Guyana,1500,,,Widespread,Common,Minimal,,Absent,,,,,,,,,,
Guyana,1750,,,Common,Common,Widespread,Minimal,Present,,,,,,,,,,
Guyana,1850,,,Common,Common,Widespread,Common,Present,,,,,,,,,,
Haiti,-8000,,,,,,,Absent,,,,,,,,,,
Haiti,-6000,,,Minimal,,,,Absent,,,,,,,,,,
Haiti,-4000,,,Minimal,,,,Absent,,,,,,,,,,
Haiti,-2000,,,Common,Minimal,,,Absent,,,,,,,,,,
Haiti,-1000,,,Common,Minimal,,,Absent,,,,,,,,,,
Haiti,0,,,Widespread,Common,,,Absent,-2000.0,1900.0,0.0,1900.0,1900.0,1900.0,1800.0,1900.0,1800.0,1900.0
Haiti,1000,,,Widespread,Common,,,Absent,,,,,,,,,,
Haiti,1500,,,Widespread,Common,Minimal,,Absent,,,,,,,,,,
Haiti,1750,,,Common,Common,Widespread,Minimal,Present,,,,,,,,,,
Haiti,1850,,,Common,Common,Widespread,Common,Present,,,,,,,,,,
Honduras,-8000,,,Common,,,,Absent,,,,,,,,,,
Honduras,-6000,,,Widespread,Minimal,,,Absent,,,,,,,,,,
Honduras,-4000,,,Widespread,Minimal,,,Absent,,,,,,,,,,
Honduras,-2000,,,Common,Common,,,Absent,,,,,,,,,,
Honduras,-1000,,,Widespread,Common,,,Absent,,,,,,,,,,
Honduras,0,,,Widespread,Widespread,Minimal,,Absent,-8000.0,1900.0,-2000.0,1900.0,1800.0,1900.0,1000.0,1900.0,1000.0,1900.0
Honduras,1000,,,Widespread,Widespread,Common,,Present,,,,,,,,,,
Honduras,1500,,,Widespread,Widespread,Minimal,,Present,,,,,,,,,,
Honduras,1750,,,Widespread,Widespread,Common,Common,Present,,,,,,,,,,
Honduras,1850,,,Common,Widespread,Widespread,Common,Present,,,,,,,,,,
Hungary,-8000,,,Widespread,,,,Absent,,,,,,,,,,
Hungary,-6000,,,Widespread,Common,,Common,Absent,,,,,,,,,,
Hungary,-4000,,,Widespread,Widespread,,Widespread,Absent,,,,,,,,,,
Hungary,-2000,,,Common,Widespread,,Widespread,Absent,,,,,,,,,,
Hungary,-1000,,,Minimal,Widespread,,Widespread,Absent,,,,,,,,,,
Hungary,0,,,Minimal,Widespread,,Widespread,Split,-8000.0,-2000.0,-6000.0,1900.0,-6000.0,1900.0,1800.0,1900.0,1550.0,1900.0
Hungary,1000,,,Minimal,Widespread,,Common,Split,,,,,,,,,,
Hungary,1500,,,Minimal,Widespread,Minimal,Widespread,Present,,,,,,,,,,
Hungary,1750,,,Minimal,Widespread,Common,Widespread,Present,,,,,,,,,,
Hungary,1850,,,Minimal,Widespread,Common,Widespread,Present,,,,,,,,,,
Iceland,-8000,,,,,,,Absent,,,,,,,,,,
Iceland,-6000,,,,,,,Absent,,,,,,,,,,
Iceland,-4000,,,,,,,Absent,,,,,,,,,,
Iceland,-2000,,,,,,,Absent,,,,,,,,,,
Iceland,-1000,,,,,,,Absent,,,,,,,,,,
Iceland,0,,,,,,,Absent,,,,,,,,,,
Iceland,1000,,,Common,Minimal,Common,Widespread,Absent,,,,,,,,,,
Iceland,1500,,,Widespread,Minimal,Common,Widespread,Absent,,,,,,,,,,
Iceland,1750,,,Common,Minimal,Common,Widespread,Absent,,,,,,,,,,
Iceland,1850,,,Common,Minimal,Common,Widespread,Present,,,,,,,,,,
India,-8000,,,Widespread,,,,Absent,,,,,,,,,,
India,-6000,,,Widespread,Minimal,,Common,Absent,,,,,,,,,,
India,-4000,,,Common,Common,Common,Widespread,Absent,,,,,,,,,,
India,-2000,,,Common,Common,Common,Widespread,Present,,,,,,,,,,
India,-1000,,,Common,Common,Common,Widespread,Present,,,,,,,,,,
India,0,,,Common,Common,Widespread,Widespread,Present,-8000.0,1000.0,-4000.0,1900.0,-6000.0,1900.0,-4000.0,1900.0,-2000.0,1900.0
India,1000,,,Common,Widespread,Widespread,Widespread,Present,,,,,,,,,,
India,1500,,,Minimal,Common,Widespread,Widespread,Present,,,,,,,,,,
India,1750,,,Minimal,Common,Widespread,Widespread,Present,,,,,,,,,,
India,1850,,,Minimal,Common,Widespread,Widespread,Present,,,,,,,,,,
Indonesia,-8000,,,Widespread,,,,Absent,,,,,,,,,,
Indonesia,-6000,,,Widespread,,,,Absent,,,,,,,,,,
Indonesia,-4000,,,Widespread,Minimal,,,Absent,,,,,,,,,,
Indonesia,-2000,,,Common,Minimal,,,Absent,,,,,,,,,,
Indonesia,-1000,,,Common,Common,,,Absent,,,,,,,,,,
Indonesia,0,,,Minimal,Widespread,Minimal,,Absent,,,,,,,,,,
Indonesia,1000,,,Minimal,Common,Common,,Present,,,,,,,,,,
Indonesia,1500,,,Minimal,Minimal,Widespread,,Present,,,,,,,,,,
Indonesia,1750,,,,Minimal,Widespread,,Present,,,,,,,,,,
Indonesia,1850,,,,Minimal,Widespread,,Present,,,,,,,,,,
Intensive Agriculture,-8000,,0.000401628,,,,,,,,,,,,,,,
Intensive Agriculture,-7901,,0.00045105,,,,,,,,,,,,,,,
Intensive Agriculture,-7801,,0.00050655,,,,,,,,,,,,,,,
Intensive Agriculture,-7702,,0.000568875,,,,,,,,,,,,,,,
Intensive Agriculture,-7602,,0.000638864,,,,,,,,,,,,,,,
Intensive Agriculture,-7503,,0.000717457,,,,,,,,,,,,,,,
Intensive Agriculture,-7403,,0.000805711,,,,,,,,,,,,,,,
Intensive Agriculture,-7304,,0.000904811,,,,,,,,,,,,,,,
Intensive Agriculture,-7204,,0.001016088,,,,,,,,,,,,,,,
Intensive Agriculture,-7105,,0.001141035,,,,,,,,,,,,,,,
Intensive Agriculture,-7005,,0.001281326,,,,,,,,,,,,,,,
Intensive Agriculture,-6906,,0.001438842,,,,,,,,,,,,,,,
Intensive Agriculture,-6806,,0.00161569,,,,,,,,,,,,,,,
Intensive Agriculture,-6707,,0.0018142339999999,,,,,,,,,,,,,,,
Intensive Agriculture,-6607,,0.002037127,,,,,,,,,,,,,,,
Intensive Agriculture,-6508,,0.002287341,,,,,,,,,,,,,,,
Intensive Agriculture,-6408,,0.00256821,,,,,,,,,,,,,,,
Intensive Agriculture,-6309,,0.002883467,,,,,,,,,,,,,,,
Intensive Agriculture,-6209,,0.003237298,,,,,,,,,,,,,,,
Intensive Agriculture,-6110,,0.0036343879999999,,,,,,,,,,,,,,,
Intensive Agriculture,-6010,,0.004079988,,,,,,,,,,,,,,,
Intensive Agriculture,-5911,,0.004579969,,,,,,,,,,,,,,,
Intensive Agriculture,-5811,,0.005140904,,,,,,,,,,,,,,,
Intensive Agriculture,-5712,,0.005770142,,,,,,,,,,,,,,,
Intensive Agriculture,-5612,,0.006475896,,,,,,,,,,,,,,,
Intensive Agriculture,-5513,,0.007267341,,,,,,,,,,,,,,,
Intensive Agriculture,-5413,,0.0081547169999999,,,,,,,,,,,,,,,
Intensive Agriculture,-5314,,0.009149448,,,,,,,,,,,,,,,
Intensive Agriculture,-5214,,0.010264262,,,,,,,,,,,,,,,
Intensive Agriculture,-5115,,0.011513333,,,,,,,,,,,,,,,
Intensive Agriculture,-5015,,0.012912421,,,,,,,,,,,,,,,
Intensive Agriculture,-4916,,0.0144790339999999,,,,,,,,,,,,,,,
Intensive Agriculture,-4816,,0.016232593,,,,,,,,,,,,,,,
Intensive Agriculture,-4717,,0.018194604,,,,,,,,,,,,,,,
Intensive Agriculture,-4617,,0.020388846,,,,,,,,,,,,,,,
Intensive Agriculture,-4518,,0.0228415529999999,,,,,,,,,,,,,,,
Intensive Agriculture,-4418,,0.025581608,,,,,,,,,,,,,,,
Intensive Agriculture,-4319,,0.028640722,,,,,,,,,,,,,,,
Intensive Agriculture,-4219,,0.03205362,,,,,,,,,,,,,,,
Intensive Agriculture,-4120,,0.035858192,,,,,,,,,,,,,,,
Intensive Agriculture,-4020,,0.040095639,,,,,,,,,,,,,,,
Intensive Agriculture,-3921,,0.04481056,,,,,,,,,,,,,,,
Intensive Agriculture,-3821,,0.050051007,,,,,,,,,,,,,,,
Intensive Agriculture,-3722,,0.055868462,,,,,,,,,,,,,,,
Intensive Agriculture,-3622,,0.062317724,,,,,,,,,,,,,,,
Intensive Agriculture,-3523,,0.069456697,,,,,,,,,,,,,,,
Intensive Agriculture,-3423,,0.077346034,,,,,,,,,,,,,,,
Intensive Agriculture,-3324,,0.086048626,,,,,,,,,,,,,,,
Intensive Agriculture,-3224,,0.0956289019999999,,,,,,,,,,,,,,,
Intensive Agriculture,-3125,,0.10615192,,,,,,,,,,,,,,,
Intensive Agriculture,-3025,,0.117682211,,,,,,,,,,,,,,,
Intensive Agriculture,-2926,,0.130282381,,,,,,,,,,,,,,,
Intensive Agriculture,-2826,,0.144011446,,,,,,,,,,,,,,,
Intensive Agriculture,-2727,,0.158922904,,,,,,,,,,,,,,,
Intensive Agriculture,-2627,,0.175062579,,,,,,,,,,,,,,,
Intensive Agriculture,-2528,,0.192466266,,,,,,,,,,,,,,,
Intensive Agriculture,-2428,,0.211157256,,,,,,,,,,,,,,,
Intensive Agriculture,-2329,,0.231143829,,,,,,,,,,,,,,,
Intensive Agriculture,-2229,,0.252416844,,,,,,,,,,,,,,,
Intensive Agriculture,-2130,,0.274947559,,,,,,,,,,,,,,,
Intensive Agriculture,-2030,,0.2986858639999999,,,,,,,,,,,,,,,
Intensive Agriculture,-1931,,0.32355907,,,,,,,,,,,,,,,
Intensive Agriculture,-1831,,0.349471443,,,,,,,,,,,,,,,
Intensive Agriculture,-1732,,0.376304581,,,,,,,,,,,,,,,
Intensive Agriculture,-1632,,0.403918762,,,,,,,,,,,,,,,
Intensive Agriculture,-1533,,0.43215526,,,,,,,,,,,,,,,
Intensive Agriculture,-1433,,0.460839605,,,,,,,,,,,,,,,
Intensive Agriculture,-1334,,0.489785673,,,,,,,,,,,,,,,
Intensive Agriculture,-1234,,0.518800395,,,,,,,,,,,,,,,
Intensive Agriculture,-1135,,0.54768887,,,,,,,,,,,,,,,
Intensive Agriculture,-1035,,0.576259564,,,,,,,,,,,,,,,
Intensive Agriculture,-936,,0.604329337,,,,,,,,,,,,,,,
Intensive Agriculture,-836,,0.631727991,,,,,,,,,,,,,,,
Intensive Agriculture,-737,,0.658302127,,,,,,,,,,,,,,,
Intensive Agriculture,-637,,0.6839181390000001,,,,,,,,,,,,,,,
Intensive Agriculture,-538,,0.7084642409999999,,,,,,,,,,,,,,,
Intensive Agriculture,-438,,0.731851523,,,,,,,,,,,,,,,
Intensive Agriculture,-339,,0.754014069,,,,,,,,,,,,,,,
Intensive Agriculture,-239,,0.774908248,,,,,,,,,,,,,,,
Intensive Agriculture,-140,,0.794511328,,,,,,,,,,,,,,,
Intensive Agriculture,-40,,0.812819567,,,,,,,,,,,,,,,
Intensive Agriculture,59,,0.8298459490000001,,,,,,,,,,,,,,,
Intensive Agriculture,159,,0.845617728,,,,,,,,,,,,,,,
Intensive Agriculture,258,,0.860173925,,,,,,,,,,,,,,,
Intensive Agriculture,358,,0.873562872,,,,,,,,,,,,,,,
Intensive Agriculture,457,,0.885839919,,,,,,,,,,,,,,,
Intensive Agriculture,557,,0.89706533,,,,,,,,,,,,,,,
Intensive Agriculture,656,,0.907302446,,,,,,,,,,,,,,,
Intensive Agriculture,756,,0.916616088,,,,,,,,,,,,,,,
Intensive Agriculture,855,,0.925071236,,,,,,,,,,,,,,,
Intensive Agriculture,955,,0.932731947,,,,,,,,,,,,,,,
Intensive Agriculture,1054,,0.939660515,,,,,,,,,,,,,,,
Intensive Agriculture,1154,,0.945916823,,,,,,,,,,,,,,,
Intensive Agriculture,1253,,0.951557886,,,,,,,,,,,,,,,
Intensive Agriculture,1353,,0.956637539,,,,,,,,,,,,,,,
Intensive Agriculture,1452,,0.961206254,,,,,,,,,,,,,,,
Intensive Agriculture,1552,,0.965311059,,,,,,,,,,,,,,,
Intensive Agriculture,1651,,0.968995541,,,,,,,,,,,,,,,
Intensive Agriculture,1751,,0.972299906,,,,,,,,,,,,,,,
Intensive Agriculture,1850,,0.975261092,,,,,,,,,,,,,,,
