Entity,Year,% global domestic CO2,% global domestic RPKs,% global international CO2,% global international RPKs,% global total CO2,% global total RPKs,Domestic RPKs (billions),Domestic aviation CO2 (Mt),International RPKs (billions),International aviation CO2 (Mt),Total RPKs (billions),Total aviation CO2 (Mt),Per capita total RPKs,Per capita domestic RPKs,Per capita international RPKs,Per capita aviation CO2,Per capita domestic aviation CO2,Per capita international aviation CO2,Inbound-outbound flight ratio,Per capita international RPKs - adjusted,Per capita international CO2 - adjusted,Per capita total RPKs - adjusted,Per capita aviation CO2 - adjusted
Afghanistan,2018,7.411434672045797e-05,4.103213677685773e-05,0.0001754251092253,0.0001734714895655,0.0002495394559458,0.0002145036263424,0.3488819723999999,0.0553484830878578,1.4749676762859996,0.1310072087361017,1.8238496486859996,0.1863556918239595,49.06514711842246,9.385612084364576,39.67953503405788,0.0050133350861928,0.0014889831886327,0.00352435189756,,,,,
Algeria,2018,0.0002503023316913,0.0001549498416592,0.0010985326128759,0.0009168918779385,0.0013488349445672,0.0010718417195978,1.3174845530259989,0.1869254062876811,7.796012393709191,0.8203825094020388,9.11349694673519,1.00730791568972,215.81644754038052,31.199312139480888,184.61713540089968,0.0238540285045401,0.0044265749334015,0.0194274535711385,2.111403838916071,389.8013284151476,0.0410192000504656,421.0006405546285,0.0454457749838672
Angola,2018,9.127997578230132e-05,4.792940876469696e-05,0.0005302030098456,0.0004510941124401,0.0006214829856279,0.0004990235212048,0.407527074613,0.06816774915257,3.8354961756446,0.3959548133677473,4.2430232502576,0.4641225625203173,137.71578222192798,13.22710401210646,124.48867820982149,0.0150640234508379,0.0022125202581165,0.0128515031927214,,,,,
Argentina,2018,0.0020691788107896,0.0018859348714233,0.0035451846072784,0.003712015952193,0.0056143634180681,0.0055979508236164,16.035447564876,1.5452596357181625,31.56197918778153,2.6475385530872355,47.59742675265753,4.192798188805398,1072.9565779098202,361.4762418537905,711.4803360560296,0.0945154119340275,0.0348337421545538,0.0596816697794737,1.603284356093345,1140.7052924666682,0.0956866875029592,1502.1815343204587,0.130520429657513
Australia,2018,0.0089072621176284,0.0089729915203882,0.0165347324797538,0.0169599156932344,0.0254419945973823,0.0259329072136227,76.29422267199999,6.651930004,144.20425801784123,12.348113442458438,220.49848068984124,19.00004344645844,8856.072001359194,3064.27113310306,5791.800868256136,0.7631152480704649,0.2671672425094384,0.4959480055610265,1.2332900713822192,7142.9705062432095,0.6116477511802276,10207.24163934627,0.8788149936896661
Austria,2018,4.393509172429786e-05,2.356144199285847e-05,0.0029601874359041,0.0028744635055868,0.0030041225276284,0.0028980249475796,0.200334737617,0.0328106606732667,24.440562354202225,2.2106635419860736,24.640897091819223,2.2434742026593404,2771.4427051871808,22.53230655910471,2748.910398628076,0.2523309192058644,0.0036903228740599,0.2486405963318045,0.3856113707165109,1060.0111067918428,0.0958786411672778,1082.5434133509475,0.0995689640413377
Azerbaijan,2018,3.667895862454685e-06,1.5899392575285033e-06,0.0005299850566916,0.0004758533458223,0.0005336529525541,0.0004774432850798,0.01351869992,0.0027391791345987,4.046015316396201,0.3957920462789165,4.059534016316201,0.3985312254135153,407.99336847399,1.3586633085427136,406.6347051654474,0.0400533894887955,0.0002752943853868,0.0397780951034087,1.48841625522218,605.2417051057305,0.0592063633536873,606.6003684142732,0.0594816577390741
Bahrain,2018,0.0,0.0,0.0010149792248166,0.0009401373498488,0.0010149792248166,0.0009401373498488,0.0,0.0,7.993660547728302,0.7579849643845991,7.993660547728302,0.7579849643845991,5094.748596385151,0.0,5094.748596385151,0.4831006783840657,0.0,0.4831006783840657,0.238107098381071,1213.0958052663027,0.1150297007559568,1213.0958052663027,0.1150297007559568
Bangladesh,2018,0.0001995314234079,9.571484586830864e-05,0.0014955312565544,0.001624781972633,0.0016950626799623,0.0017204968185013,0.8138300083200001,0.1490097680499856,13.814955394959792,1.1168605016917323,14.628785403279792,1.265870269741718,90.64975881617494,5.043036174078645,85.6067226420963,0.0078441805988162,0.0009233643916846,0.0069208162071315,,,,,
Belarus,2018,0.0,0.0,0.0003425039175968,0.0002439113756785,0.0003425039175968,0.0002439113756785,0.0,0.0,2.073893502069199,0.2557814124994884,2.073893502069199,0.2557814124994884,219.38998223518448,0.0,219.38998223518448,0.0270582262244248,0.0,0.0270582262244248,0.0726855394032134,15.946479198425804,0.0019667417684164,15.946479198425804,0.0019667417684164
Belgium,2018,0.0,0.0,0.0036174637374872,0.0038604356094265,0.0036174637374872,0.0038604356094265,0.0,0.0,32.823939856321736,2.701516499233805,32.823939856321736,2.701516499233805,2858.7301738653314,0.0,2858.7301738653314,0.235282746841474,0.0,0.235282746841474,1.4363417041342252,4106.11336958966,0.3379464215516644,4106.11336958966,0.3379464215516644
Bolivia,2018,0.0004118886775892,0.0001969104306462,0.0003330478603561,0.0003187131949896,0.0007449365379454,0.0005156236256359,1.6742608312989828,0.3075978473050049,2.7099073270934024,0.2487196431198081,4.384168158392385,0.556317490424813,386.1682514218608,147.4729878709577,238.69526355090304,0.04900180484672,0.0270939705192464,0.0219078343274736,0.9281961471103328,221.5560239614336,0.0203347674142925,369.02901183239135,0.0474287379335389
Brazil,2018,0.0120214687077561,0.0112321376031554,0.0078052826227111,0.0082787725261792,0.0198267513304672,0.0195109101293347,95.5029552218503,8.977614819598621,70.3915202781586,5.828973368253788,165.8944755000089,14.806588187852409,791.976291650885,455.9288432621583,336.04744838872665,0.0706863008528365,0.042858920233877,0.0278273806189595,1.6051955897900618,539.4218821137874,0.0446683886449632,995.3507253759458,0.0875273088788402
Brunei,2018,0.0,0.0,0.0002275974929598,0.0002489410325079,0.0002275974929598,0.0002489410325079,0.0,0.0,2.1166589228576,0.1699694667409307,2.1166589228576,0.1699694667409307,4933.936883117948,0.0,4933.936883117948,0.3961992231723327,0.0,0.3961992231723327,,,,,
Bulgaria,2018,2.5095513057978236e-05,1.2416794968959111e-05,0.0008873318222468,0.0009798495774939,0.0009124273353048,0.0009922663724629,0.105575684328,0.0187412915519528,8.331319792349094,0.6626580753951368,8.436895476677094,0.6813993669470897,1196.383363113598,14.971027272830405,1181.4123358407676,0.0966249811325992,0.0026575853023188,0.0939673958302803,0.7224199288256228,853.4758155718001,0.0678839194076402,868.4468428446305,0.0705415047099591
Cambodia,2018,4.596757212573972e-05,2.3380106154600477e-05,0.0007700515710284,0.0008034289692427,0.0008160191431542,0.0008268090753973,0.1987929021219999,0.0343285139918679,6.831276786706399,0.5750733595022567,7.030069688828399,0.6094018734941246,432.6196731586707,12.23340936135384,420.3862637973168,0.0375016537534845,0.0021125239379611,0.0353891298155234,0.3217223028543783,135.24763687722094,0.0113854723402627,147.48104623857478,0.0134979962782238
Canada,2018,0.0083536765304628,0.0074213591883681,0.0146211445132217,0.0158806732631247,0.0229748210436846,0.0233020324514928,63.10123320185059,6.238513116923062,135.02783540641113,10.919048816115373,198.12906860826172,17.157561933038433,5344.007244996945,1701.9887579730437,3642.018487023901,0.4627798228735922,0.168267380092328,0.2945124427812642,1.2318065676161636,4486.262291695524,0.3627823612626408,6188.251049668568,0.5310497413549689
Chile,2018,0.0017670288780212,0.0018090961622213,0.0024501799895327,0.0026907886056462,0.0042172088675539,0.0044998847678675,15.382114774316005,1.3196145186275807,22.87883863213218,1.829790745162536,38.26095340644818,3.1494052637901166,2042.8721985396007,821.299309857227,1221.5728886823738,0.1681566161455559,0.0704583543503433,0.0976982617952125,0.6683557574698584,816.445273319951,0.0652971957656278,1637.744583177178,0.1357555501159711
China,2018,0.0864185870032147,0.090316003169982,0.0406719488033815,0.0439396346752135,0.1270905358065963,0.1342556378451956,767.9255286310001,64.537271296,373.6034146939669,30.373750428981396,1141.528943324967,94.9110217249814,799.5871134376031,537.8955657353914,261.69154770221155,0.0664806883244198,0.0452053106199847,0.0212753777044351,2.3802861685214625,622.9007714145487,0.0506414872799368,1160.79633714994,0.0958467978999215
Colombia,2018,0.0020497724801716,0.0013834219743684,0.0024663691444442,0.0026267991148963,0.0045161416246158,0.0040102210892647,11.762755366699997,1.5307670170884888,22.33475827221614,1.841880781794756,34.09751363891613,3.3726477988832446,686.6054577820852,236.8610250840699,449.7444326980153,0.0679134088899386,0.0308243292943857,0.0370890795955529,1.1188524590163935,503.19766445310734,0.0414972079081391,740.0586895371772,0.0723215372025248
Costa Rica,2018,9.11230867802621e-06,9.314052964953922e-07,0.00087262167233,0.0009075002429517,0.000881733981008,0.0009084316482482,0.0079194149384,0.0068050584680908,7.716158591405364,0.6516725574769981,7.724078006343764,0.658477615945089,1545.1246261939916,1.5841998276455296,1543.540426366346,0.1317218675625303,0.0013612839504082,0.130360583612122,0.3576400397746105,552.0318594793794,0.0466221643080807,553.6160593070249,0.047983448258489
Croatia,2018,4.51877242602532e-05,2.153743723677732e-05,0.0007152169581899,0.0007052698311856,0.0007604046824501,0.0007268072684224,0.1831253298962001,0.0337461247743418,5.996663812961291,0.5341229527912349,6.179789142857491,0.5678690775655768,1486.9560016500218,44.06288014826759,1442.8931215017542,0.136638372850235,0.0081198567791967,0.1285185160710382,0.1236407329528386,178.4003631150862,0.0158901235250343,222.4632432633538,0.0240099803042311
Cuba,2018,5.52890110357778e-05,3.5285031407535886e-05,0.0016388843430499,0.0017355332623394,0.0016941733540857,0.001770818293747,0.3000163364779999,0.0412897506038925,14.756635049830338,1.2239163719055914,15.05665138630834,1.265206122509484,1327.9812476899222,26.46113392820603,1301.5201137617162,0.1115898855626639,0.0036417137593837,0.1079481718032802,,,,,
Czech Republic,2018,3.3241586220631864e-06,1.5239838076355654e-06,0.0015489377122307,0.0015746012643389,0.0015522618708528,0.0015761252481465,0.012957903694,0.002482476678484,13.388286304308286,1.1567443627737528,13.401244208002286,1.159226839452237,1256.4451723234845,1.21487940127508,1255.2302929222094,0.1086843089679577,0.0002327467352788,0.1084515622326788,0.6964470832155311,874.2014762694494,0.0755307741871168,875.4163556707244,0.0757635209223956
Democratic Republic of Congo,2018,9.031586035602331e-05,7.258976246510141e-05,0.0001605712854243,0.0001535924408371,0.0002508871457804,0.0002261822033022,0.6172054758590003,0.0674477491967266,1.3059430464569997,0.1199143953764907,1.923148522316,0.1873621445732174,22.876106512775372,7.341740922336684,15.534365590438687,0.0022286975373889,0.0008022999143161,0.0014263976230728,,,,,
Denmark,2018,0.0002465337324223,0.0001614870882921,0.0031808963904847,0.0032248651319776,0.003427430122907,0.0033863522202698,1.373068485,0.184111022,27.41990538018715,2.375488658586172,28.79297386518715,2.5595996805861723,5005.732591305137,238.71148904728796,4767.02110225785,0.4449929903661634,0.0320081748956884,0.412984815470475,0.5863204957251549,2795.0021758080966,0.2421414617336105,3033.7136648553846,0.274149636629299
Ecuador,2018,0.0002873370524773,0.0002000856188738,0.0007146381768179,0.0007391861134167,0.0010019752292953,0.0009392717322906,1.7012583512580008,0.2145828802828754,6.285042151764747,0.533690719729802,7.986300503022748,0.7482736000126774,467.4725183225678,99.5819685821822,367.8905497403856,0.0437996722086559,0.0125604589254785,0.0312392132831773,0.5530571992110453,203.46451705562944,0.0172770718039505,303.04648563781166,0.029837530729429
Egypt,2018,0.0002088752113124,0.0001097541212654,0.0032497013640402,0.0032606150959383,0.0034585765753526,0.0033703692172038,0.9332010788119998,0.1559876948575699,27.72387487628458,2.426872109749296,28.65707595509658,2.5828598046068656,291.15943220247686,9.4814382550191,281.67799394745776,0.0262421747196503,0.0015848542515806,0.0246573204680697,,,,,
