Entity,Year,Daily ICU occupancy,Daily ICU occupancy per million,Daily hospital occupancy,Daily hospital occupancy per million,Weekly new ICU admissions,Weekly new ICU admissions per million,Weekly new hospital admissions,Weekly new hospital admissions per million
Austria,551,26.0,2.875,78.0,8.625,,,,
Austria,552,32.0,3.539,85.0,9.399,,,,
Austria,553,41.0,4.534,80.0,8.847,,,,
Austria,554,38.0,4.202,75.0,8.294,,,,
Austria,555,40.0,4.423,83.0,9.178,,,,
Austria,556,37.0,4.092,81.0,8.957,,,,
Austria,557,33.0,3.649,90.0,9.952,,,,
Austria,558,30.0,3.317,96.0,10.616,,,,
Austria,559,31.0,3.428,99.0,10.948,,,,
Austria,560,35.0,3.87,102.0,11.279,,,,
Austria,561,31.0,3.428,96.0,10.616,,,,
Austria,562,38.0,4.202,95.0,10.505,,,,
Austria,563,34.0,3.76,112.0,12.385,,,,
Austria,564,41.0,4.534,110.0,12.164,,,,
Austria,565,44.0,4.866,119.0,13.159,,,,
Austria,566,40.0,4.423,134.0,14.818,,,,
Austria,567,46.0,5.087,146.0,16.145,,,,
Austria,568,48.0,5.308,146.0,16.145,,,,
Austria,569,49.0,5.419,150.0,16.587,,,,
Austria,570,49.0,5.419,158.0,17.472,,,,
Austria,571,53.0,5.861,167.0,18.467,,,,
Austria,572,58.0,6.414,182.0,20.126,,,,
Austria,573,64.0,7.077,193.0,21.342,,,,
Austria,574,60.0,6.635,214.0,23.665,,,,
Austria,575,62.0,6.856,226.0,24.992,,,,
Austria,576,68.0,7.52,219.0,24.217,,,,
Austria,577,69.0,7.63,246.0,27.203,,,,
Austria,578,71.0,7.851,260.0,28.751,,,,
Austria,579,73.0,8.072,278.0,30.742,,,,
Austria,580,74.0,8.183,306.0,33.838,,,,
Austria,581,86.0,9.51,317.0,35.054,,,,
Austria,582,88.0,9.731,332.0,36.713,,,,
Austria,583,94.0,10.395,315.0,34.833,,,,
Austria,584,105.0,11.611,316.0,34.944,,,,
Austria,585,110.0,12.164,315.0,34.833,,,,
Austria,586,113.0,12.496,343.0,37.93,,,,
Austria,587,124.0,13.712,355.0,39.257,,,,
Austria,588,133.0,14.707,393.0,43.459,,,,
Austria,589,141.0,15.592,401.0,44.343,,,,
Austria,590,143.0,15.813,396.0,43.79,,,,
Austria,591,153.0,16.919,396.0,43.79,,,,
Austria,592,154.0,17.03,395.0,43.68,,,,
Austria,593,157.0,17.361,395.0,43.68,,,,
Austria,594,171.0,18.91,413.0,45.67,,,,
Austria,595,172.0,19.02,456.0,50.425,,,,
Austria,596,188.0,20.789,468.0,51.752,,,,
Austria,597,186.0,20.568,471.0,52.084,,,,
Austria,598,181.0,20.015,497.0,54.959,,,,
Austria,599,173.0,19.131,512.0,56.618,,,,
Austria,600,182.0,20.126,528.0,58.387,,,,
Austria,601,189.0,20.9,570.0,63.032,,,,
Austria,602,201.0,22.227,604.0,66.791,,,,
Austria,603,196.0,21.674,618.0,68.34,,,,
Austria,604,202.0,22.338,621.0,68.671,,,,
Austria,605,207.0,22.89,644.0,71.215,,,,
Austria,606,213.0,23.554,652.0,72.099,,,,
Austria,607,217.0,23.996,644.0,71.215,,,,
