Entity,Year,CO2 per year by region (CDIAC (2017))
Africa,1938,0.05178003
Africa,1939,0.05680426
Africa,1940,0.06041921
Africa,1941,0.06204502
Africa,1942,0.0670142
Africa,1943,0.06828035
Africa,1944,0.07567173
Africa,1945,0.07524234
Africa,1946,0.07595065
Africa,1947,0.08101892
Africa,1948,0.07844258
Africa,1949,0.09526953
Africa,1950,0.08780108
Africa,1951,0.09376483
Africa,1952,0.10297286
Africa,1953,0.1048519
Africa,1954,0.10961923
Africa,1955,0.12254864
Africa,1956,0.12926107
Africa,1957,0.13356598
