Entity,Year,barley_attainable,cassava_attainable,cotton_attainable,groundnut_attainable,maize_attainable,millet_attainable,oilpalm_attainable,potato_attainable,rapeseed_attainable,rice_attainable,rye_attainable,sorghum_attainable,soybean_attainable,sugarbeet_attainable,sugarcane_attainable,sunflower_attainable,wheat_attainable,wheat_yield_gap,barley_yield_gap,rye_yield_gap,millet_yield_gap,sorghum_yield_gap,maize_yield_gap,cassava_yield_gap,soybeans_yield_gap,rapeseed_yield_gap,sugarbeet_yield_gap,sugarcane_yield_gap,potato_yield_gap,oilpalm_yield_gap,groundnut_yield_gap,rice_yield_gap,sunflower_yield_gap,cotton_yield_gap
Afghanistan,1982,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.77,2.22,,1.12,,8.73,,,,68.92,0.0,30.300000000000004,,,7.159999999999999,0.3900000000000001,2.67
Afghanistan,1983,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.74,2.19,,1.12,,8.74,,,,58.010000000000005,0.0,30.050000000000004,,,7.1,0.3500000000000001,2.61
Afghanistan,1984,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.77,2.2,,1.1,,8.74,,,,58.010000000000005,0.0,31.370000000000005,,,7.119999999999999,0.3500000000000001,2.33
Afghanistan,1985,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.77,2.2,,1.11,,8.73,,,,74.68,0.0,31.72,,,7.109999999999999,0.3500000000000001,2.61
Afghanistan,1986,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.81,2.21,,1.12,,8.71,,,,65.51,0.0,29.940000000000005,,,7.119999999999999,0.3500000000000001,2.42
Afghanistan,1987,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.72,2.21,,1.12,,8.700000000000001,,,,63.010000000000005,0.0,30.31,,,7.359999999999999,0.3700000000000001,2.36
Afghanistan,1988,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.83,2.1799999999999997,,1.12,,8.700000000000001,,,,63.010000000000005,0.0,30.24,,,7.449999999999999,0.3900000000000001,2.36
Afghanistan,1989,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.88,2.2,,1.12,,8.700000000000001,,,,61.34,0.0,30.550000000000004,,,7.48,0.4100000000000001,2.71
Afghanistan,1990,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.95,2.24,,1.11,,8.64,,,,73.01,0.0,28.97,,,7.459999999999999,0.4400000000000001,2.32
Afghanistan,1991,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.98,2.23,,1.15,,8.72,,,,73.01,0.0,29.17,,,7.42,0.4600000000000002,2.23
Afghanistan,1992,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.97,2.49,,1.18,,8.9,,,,73.01,0.0,29.14,,,7.65,0.52,2.23
Afghanistan,1993,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.98,2.29,,1.17,,8.72,,,,73.01,0.0,29.12,,,7.65,0.53,2.23
Afghanistan,1994,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.97,2.37,,1.17,,8.73,,,,73.01,0.0,29.22,,,7.459999999999999,0.53,2.23
Afghanistan,1995,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.91,2.4,,1.16,,8.74,,,,73.01,0.0,29.19,,,7.069999999999999,0.6500000000000001,2.23
Afghanistan,1996,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.88,2.29,,1.16,,8.76,,,,73.01,0.0,29.17,,,7.42,0.53,2.23
Afghanistan,1997,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.72,2.04,,1.16,,8.9,,,,73.01,0.0,29.020000000000003,,,7.139999999999999,0.6300000000000001,2.23
Afghanistan,1998,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.7,2.09,,1.16,,8.75,,,,73.01,0.0,29.020000000000003,,,6.859999999999999,0.53,2.23
Afghanistan,1999,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.77,2.09,,1.15,,8.9,,,,73.01,0.0,29.020000000000003,,,7.359999999999999,0.52,2.23
Afghanistan,2000,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,3.28,2.69,,1.17,,9.2,,,,73.01,0.0,29.020000000000003,,,7.359999999999999,0.51,2.22
