Entity,Year,Daily fat supply (FAO (2017))
Antigua and Barbuda,1973,58.25
Antigua and Barbuda,1974,56.89
Antigua and Barbuda,1975,61.19
Antigua and Barbuda,1976,53.62
Antigua and Barbuda,1977,48.95
Antigua and Barbuda,1978,52.76
Antigua and Barbuda,1979,59.73
Antigua and Barbuda,1980,69.91
Antigua and Barbuda,1981,73.57
Antigua and Barbuda,1982,71.54
Antigua and Barbuda,1983,75.19
Antigua and Barbuda,1984,88.97
Antigua and Barbuda,1985,84.04
Antigua and Barbuda,1986,87.2
Antigua and Barbuda,1987,91.26
Antigua and Barbuda,1988,93.53
Antigua and Barbuda,1989,101.35
Antigua and Barbuda,1990,97.82
Antigua and Barbuda,1991,106.15
Antigua and Barbuda,1992,97.84
Antigua and Barbuda,1993,89.27
Antigua and Barbuda,1994,75.19
Antigua and Barbuda,1995,72.89
Antigua and Barbuda,1996,75.16
Antigua and Barbuda,1997,76.69
Antigua and Barbuda,1998,76.19
Antigua and Barbuda,1999,77.44
Antigua and Barbuda,2000,75.18
Antigua and Barbuda,2001,72.98
Antigua and Barbuda,2002,73.68
Antigua and Barbuda,2003,74.09
Antigua and Barbuda,2004,74.59
Antigua and Barbuda,2005,81.49
Antigua and Barbuda,2006,82.55
Antigua and Barbuda,2007,84.94
Antigua and Barbuda,2008,82.9
Antigua and Barbuda,2009,83.02
Antigua and Barbuda,2010,83.12
Antigua and Barbuda,2011,87.04
Antigua and Barbuda,2012,90.24
Antigua and Barbuda,2013,90.03
Argentina,1961,93.72
Argentina,1962,99.17
Argentina,1963,100.24
Argentina,1964,94.44
Argentina,1965,100.91
Argentina,1966,111.43
Argentina,1967,111.9
Argentina,1968,114.57
Argentina,1969,117.32
Argentina,1970,111.02
Argentina,1971,104.67
Argentina,1972,101.36
Argentina,1973,105.78
Argentina,1974,105.65
Argentina,1975,114.99
Argentina,1976,112.77
Argentina,1977,112.57
Argentina,1978,114.84
Argentina,1979,114.29
Argentina,1980,116.74
Argentina,1981,116.81
Argentina,1982,107.56
Argentina,1983,102.61
Argentina,1984,104.58
Argentina,1985,108.68
Argentina,1986,106.49
Argentina,1987,109.53
Argentina,1988,105.66
Argentina,1989,103.52
Argentina,1990,99.62
Argentina,1991,104.77
Argentina,1992,110.87
Argentina,1993,115.01
Argentina,1994,116.05
Argentina,1995,113.67
Argentina,1996,112.02
Argentina,1997,110.89
Argentina,1998,114.75
Argentina,1999,119.3
Argentina,2000,116.49
Argentina,2001,114.39
Argentina,2002,99.18
Argentina,2003,98.93
Argentina,2004,101.34
Argentina,2005,107.1
Argentina,2006,107.32
Argentina,2007,110.75
Argentina,2008,111.29
Argentina,2009,110.93
Argentina,2010,112.6
Argentina,2011,112.33
Argentina,2012,114.81
Argentina,2013,116.46
Armenia,1961,69.69
Armenia,1962,73.47
Armenia,1963,77.1
Armenia,1964,74.9
Armenia,1965,76.61
Armenia,1966,78.24
Armenia,1967,80.81
Armenia,1968,85.53
Armenia,1969,84.8
Armenia,1970,86.29
Armenia,1971,85.79
Armenia,1972,86.24
Armenia,1973,89.14
Armenia,1974,91.6
Armenia,1975,89.57
Armenia,1976,94.41
Armenia,1977,93.25
Armenia,1978,94.24
Armenia,1979,96.0
Armenia,1980,95.33
Armenia,1981,93.66
Armenia,1982,93.76
Armenia,1983,97.49
Armenia,1984,99.21
Armenia,1985,102.49
Armenia,1986,101.33
Armenia,1987,103.14
Armenia,1988,105.42
Armenia,1989,107.33
Armenia,1990,105.4
Armenia,1991,88.83
Armenia,1992,31.49
Armenia,1993,27.49
Armenia,1994,38.89
Armenia,1995,43.79
Armenia,1996,44.11
Armenia,1997,44.3
Armenia,1998,38.36
Armenia,1999,38.32
Armenia,2000,41.35
Armenia,2001,42.67
Armenia,2002,48.74
Armenia,2003,57.49
Armenia,2004,55.95
Armenia,2005,63.01
Armenia,2006,66.44
Armenia,2007,76.62
Armenia,2008,81.67
Armenia,2009,77.87
Armenia,2010,81.87
Armenia,2011,83.2
Armenia,2012,93.36
Armenia,2013,96.64
Australia,1961,111.33
Australia,1962,111.77
Australia,1963,112.13
Australia,1964,110.57
Australia,1965,110.26
Australia,1966,110.31
Australia,1967,109.4
Australia,1968,110.19
Australia,1969,112.28
Australia,1970,113.87
Australia,1971,114.51
Australia,1972,119.99
Australia,1973,115.54
Australia,1974,108.2
Australia,1975,113.04
Australia,1976,111.92
Australia,1977,109.85
Australia,1978,110.27
Australia,1979,110.8
Australia,1980,112.18
Australia,1981,112.94
Australia,1982,116.31
Australia,1983,113.59
Australia,1984,113.08
Australia,1985,117.65
Australia,1986,120.58
Australia,1987,123.41
Australia,1988,122.98
Australia,1989,126.35
Australia,1990,128.63
Australia,1991,128.19
Australia,1992,131.73
Australia,1993,129.36
Australia,1994,127.55
Australia,1995,125.39
Australia,1996,124.93
Australia,1997,127.07
Australia,1998,124.83
Australia,1999,130.48
Australia,2000,130.01
Australia,2001,134.26
Australia,2002,131.17
Australia,2003,130.99
Australia,2004,134.01
Australia,2005,137.26
Australia,2006,143.42
Australia,2007,143.93
Australia,2008,141.0
Australia,2009,143.62
Australia,2010,145.9
Australia,2011,148.6
Australia,2012,152.37
Australia,2013,150.85
Austria,1961,111.74
Austria,1962,114.61
Austria,1963,118.99
Austria,1964,121.53
Austria,1965,120.73
Austria,1966,120.98
Austria,1967,120.99
Austria,1968,121.95
Austria,1969,122.43
Austria,1970,124.69
Austria,1971,127.19
Austria,1972,129.14
Austria,1973,132.34
Austria,1974,128.22
Austria,1975,128.62
Austria,1976,136.75
Austria,1977,135.68
Austria,1978,137.67
Austria,1979,142.14
Austria,1980,147.52
Austria,1981,149.6
Austria,1982,152.16
Austria,1983,151.81
Austria,1984,151.61
Austria,1985,154.35
Austria,1986,154.91
Austria,1987,154.49
Austria,1988,150.73
Austria,1989,155.64
Austria,1990,156.24
Austria,1991,159.23
Austria,1992,161.42
Austria,1993,159.35
Austria,1994,158.71
Austria,1995,152.79
Austria,1996,155.92
Austria,1997,156.7
Austria,1998,156.33
Austria,1999,157.23
Austria,2000,159.02
Austria,2001,160.66
Austria,2002,154.28
Austria,2003,151.28
Austria,2004,155.6
Austria,2005,152.26
Austria,2006,162.3
Austria,2007,162.77
Austria,2008,161.86
Austria,2009,167.82
Austria,2010,170.28
Austria,2011,166.18
Austria,2012,167.66
Austria,2013,170.44
Azerbaijan,1961,69.69
Azerbaijan,1962,73.47
Azerbaijan,1963,77.1
Azerbaijan,1964,74.9
Azerbaijan,1965,76.61
Azerbaijan,1966,78.24
Azerbaijan,1967,80.81
Azerbaijan,1968,85.53
Azerbaijan,1969,84.8
Azerbaijan,1970,86.29
Azerbaijan,1971,85.79
Azerbaijan,1972,86.24
Azerbaijan,1973,89.14
Azerbaijan,1974,91.6
Azerbaijan,1975,89.57
Azerbaijan,1976,94.41
Azerbaijan,1977,93.25
Azerbaijan,1978,94.24
Azerbaijan,1979,96.0
Azerbaijan,1980,95.33
Azerbaijan,1981,93.66
Azerbaijan,1982,93.76
Azerbaijan,1983,97.49
Azerbaijan,1984,99.21
Azerbaijan,1985,102.49
Azerbaijan,1986,101.33
Azerbaijan,1987,103.14
Azerbaijan,1988,105.42
Azerbaijan,1989,107.33
Azerbaijan,1990,105.4
Azerbaijan,1991,88.83
Azerbaijan,1992,39.1
Azerbaijan,1993,36.1
Azerbaijan,1994,38.13
Azerbaijan,1995,37.19
Azerbaijan,1996,41.84
Azerbaijan,1997,32.92
Azerbaijan,1998,34.3
Azerbaijan,1999,37.51
Azerbaijan,2000,37.25
