Entity,Year,"Arable land per crop output (PIN) (FAO, 2019)"
Benin,1967,1.113445553
Benin,1968,1.035057644
Benin,1969,1.16325564
Benin,1970,1.111811842
Benin,1971,1.13111413
Benin,1972,1.149163327
Benin,1973,1.147200678
Benin,1974,1.312318511
Benin,1975,1.406753006
Benin,1976,1.205087112
Benin,1977,1.288090816
Benin,1978,1.16803477
Benin,1979,1.113129889
Benin,1980,1.244787427
Benin,1981,1.316466272
Benin,1982,1.309294303
Benin,1983,1.318767242
Benin,1984,0.967545526
Benin,1985,0.98715415
Benin,1986,0.877526104
Benin,1987,1.066538554
Benin,1988,0.837685673
