Entity,Year,Iron and steel production (Correlates of War: National Material Capabilities (v4.0)),"Military expenditure (1816-1913, current prices) (Correlates of War: National Material Capabilities (v4.0))","Military expenditure (1914-2007, current prices) (Correlates of War: National Material Capabilities (v4.0))",Military personnel (Correlates of War: National Material Capabilities (v4.0))
Bahrain,1981,,,215604.0,2.0
Bahrain,1982,,,281023.0,2.0
Bahrain,1983,,,332550.0,2.0
Bahrain,1984,,,319082.0,3.0
Bahrain,1985,,,151000.0,3.0
Bahrain,1986,,,134840.0,4.0
Bahrain,1987,,,143365.0,4.0
Bahrain,1988,,,164894.0,5.0
Bahrain,1989,,,183560.0,5.0
Bahrain,1990,,,201920.0,8.0
Bahrain,1991,,,237000.0,8.0
Bahrain,1992,,,252000.0,7.0
Bahrain,1993,,,245000.0,7.0
Bahrain,1994,,,261000.0,8.0
Bahrain,1995,,,273000.0,8.0
Bahrain,1996,,,295000.0,9.0
Bahrain,1997,,,364000.0,9.0
Bahrain,1998,,,410000.0,9.0
Bahrain,1999,,,441000.0,9.0
Bahrain,2000,,,322000.0,11.0
Bahrain,2001,,,364000.0,11.0
Bahrain,2002,,,332000.0,11.0
Bahrain,2003,,,461000.0,11.0
Bahrain,2004,,,474000.0,11.0
Bahrain,2005,,,500000.0,11.0
Bahrain,2006,,,532000.0,11.0
Bahrain,2007,,,539000.0,11.0
Bangladesh,1972,107.0,,,47.0
Bangladesh,1973,68.0,,41204.0,86.0
Bangladesh,1974,74.0,,69518.0,100.0
Bangladesh,1975,76.0,,75630.0,100.0
Bangladesh,1976,90.0,,91614.0,126.0
Bangladesh,1977,108.0,,108162.0,126.0
Bangladesh,1978,117.0,,112564.0,129.0
Bangladesh,1979,126.0,,127186.0,120.0
Bangladesh,1980,137.0,,162840.0,71.0
Bangladesh,1981,139.0,,153432.0,77.0
Bangladesh,1982,109.0,,240008.0,77.0
Bangladesh,1983,47.0,,177906.0,77.0
Bangladesh,1984,73.0,,262040.0,81.0
Bangladesh,1985,101.0,,169700.0,91.0
Bangladesh,1986,96.0,,216750.0,91.0
Bangladesh,1987,82.0,,326000.0,102.0
Bangladesh,1988,70.0,,315972.0,102.0
Bangladesh,1989,86.0,,289000.0,103.0
Bangladesh,1990,75.0,,326900.0,103.0
Bangladesh,1991,58.0,,303310.0,107.0
Bangladesh,1992,36.0,,355000.0,107.0
Bangladesh,1993,32.0,,355000.0,107.0
Bangladesh,1994,34.0,,475000.0,113.0
Bangladesh,1995,36.0,,500000.0,115.0
Bangladesh,1996,37.0,,554000.0,113.0
Bangladesh,1997,40.0,,593000.0,110.0
Bangladesh,1998,40.0,,631000.0,110.0
Bangladesh,1999,,,667000.0,110.0
Bangladesh,2000,,,691000.0,137.0
Bangladesh,2001,,,639000.0,137.0
Bangladesh,2002,,,607000.0,137.0
Bangladesh,2003,,,645000.0,126.0
Bangladesh,2004,,,775000.0,125.0
Bangladesh,2005,,,889000.0,125.0
Bangladesh,2006,,,938000.0,126.0
Bangladesh,2007,,,998000.0,127.0
Barbados,1971,,,600.0,
Barbados,1972,,,800.0,
Barbados,1973,,,1000.0,
Barbados,1974,,,1000.0,
Barbados,1975,,,1000.0,
Barbados,1976,,,800.0,
Barbados,1977,,,1000.0,
Barbados,1978,,,1000.0,
Barbados,1979,,,3000.0,2.0
Barbados,1980,,,10000.0,1.0
Barbados,1981,,,11000.0,1.0
Barbados,1982,,,8000.0,1.0
Barbados,1983,,,9000.0,1.0
Barbados,1984,,,11000.0,1.0
Barbados,1985,,,10000.0,1.0
Barbados,1986,,,9000.0,1.0
Barbados,1987,,,8000.0,1.0
Barbados,1988,,,11000.0,
Barbados,1989,,,10000.0,
Barbados,1990,,,21300.0,
Barbados,1993,,,12000.0,
Barbados,1994,,,13000.0,
Barbados,1995,,,14000.0,
Barbados,1996,,,14000.0,
Barbados,1997,,,12000.0,
Barbados,1998,,,13000.0,
Barbados,1999,,,12000.0,
Barbados,2000,,,13000.0,1.0
Barbados,2001,,,13000.0,1.0
Barbados,2002,,,13000.0,1.0
Barbados,2003,,,24000.0,1.0
Barbados,2004,,,24000.0,1.0
Barbados,2005,,,26000.0,1.0
Barbados,2006,,,27000.0,1.0
Barbados,2007,,,28000.0,1.0
Bavaria,1816,10.0,549.0,,
Bavaria,1817,10.0,604.0,,
Bavaria,1818,10.0,712.0,,
Bavaria,1819,10.0,760.0,,
Bavaria,1820,10.0,722.0,,
Bavaria,1821,10.0,660.0,,
Bavaria,1822,10.0,675.0,,
Bavaria,1823,10.0,661.0,,
Bavaria,1824,10.0,655.0,,
Bavaria,1825,10.0,642.0,,
Bavaria,1826,10.0,638.0,,
Bavaria,1827,10.0,635.0,,
Bavaria,1828,10.0,631.0,,54.0
Bavaria,1829,10.0,630.0,,
Bavaria,1830,10.0,629.0,,54.0
Bavaria,1831,10.0,627.0,,54.0
Bavaria,1832,10.0,622.0,,
Bavaria,1833,10.0,611.0,,
Bavaria,1834,10.0,623.0,,
Bavaria,1835,10.0,622.0,,
Bavaria,1836,10.0,617.0,,
Bavaria,1837,10.0,619.0,,
Bavaria,1838,10.0,616.0,,
Bavaria,1839,10.0,625.0,,
Bavaria,1840,10.0,613.0,,56.0
Bavaria,1841,10.0,613.0,,
Bavaria,1842,20.0,,,
Bavaria,1843,20.0,603.0,,
Bavaria,1844,20.0,606.0,,
Bavaria,1845,20.0,605.0,,
Bavaria,1846,20.0,605.0,,58.0
Bavaria,1847,20.0,610.0,,
Bavaria,1848,20.0,605.0,,58.0
Bavaria,1849,20.0,800.0,,58.0
Bavaria,1850,20.0,796.0,,58.0
Bavaria,1851,20.0,811.0,,58.0
Bavaria,1852,20.0,845.0,,70.0
Bavaria,1853,20.0,843.0,,72.0
Bavaria,1854,20.0,843.0,,
Bavaria,1855,20.0,843.0,,88.0
Bavaria,1856,30.0,762.0,,88.0
Bavaria,1857,30.0,763.0,,87.0
Bavaria,1858,30.0,762.0,,88.0
Bavaria,1859,30.0,756.0,,104.0
Bavaria,1860,20.0,767.0,,
Bavaria,1861,20.0,960.0,,105.0
Bavaria,1862,30.0,957.0,,104.0
Bavaria,1863,30.0,961.0,,103.0
Bavaria,1864,30.0,958.0,,
Bavaria,1865,30.0,959.0,,103.0
Bavaria,1866,30.0,962.0,,73.0
Bavaria,1867,30.0,960.0,,74.0
Bavaria,1868,30.0,,,50.0
Bavaria,1869,30.0,1363.0,,50.0
Bavaria,1870,30.0,1247.0,,
Bavaria,1871,30.0,1247.0,,30.0
Belarus,1991,1123.0,,,
Belarus,1992,1105.0,,1647000.0,102.0
Belarus,1993,946.0,,931000.0,115.0
Belarus,1994,880.0,,430000.0,75.0
Belarus,1995,744.0,,496000.0,75.0
Belarus,1996,886.0,,501000.0,75.0
Belarus,1997,1219.0,,451000.0,
Belarus,1998,1412.0,,471000.0,
Belarus,1999,1448.0,,466000.0,81.0
Belarus,2000,1502.0,,2100000.0,83.0
Belarus,2001,1486.0,,1960000.0,83.0
