Entity,Year,biomass_nox,brown_coal_nox,coal_coke_nox,diesel_oil_nox,hard_coal_nox,heavy_oil_nox,light_oil_nox,natural_gas_nox,process_nox,biomass_so2,brown_coal_so2,coal_coke_so2,diesel_oil_so2,hard_coal_so2,heavy_oil_so2,light_oil_so2,natural_gas_so2,process_so2,biomass_co,brown_coal_co,coal_coke_co,diesel_oil_co,hard_coal_co,heavy_oil_co,light_oil_co,natural_gas_co,process_co,biomass_oc,brown_coal_oc,coal_coke_oc,diesel_oil_oc,hard_coal_oc,heavy_oil_oc,light_oil_oc,natural_gas_oc,process_oc,biomass_nmvoc,brown_coal_nmvoc,coal_coke_nmvoc,diesel_oil_nmvoc,hard_coal_nmvoc,heavy_oil_nmvoc,light_oil_nmvoc,natural_gas_nmvoc,process_nmvoc,biomass_bc,brown_coal_bc,coal_coke_bc
Afghanistan,1760,128.127591343399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.32123948445104,145.09484306075095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147859.240410282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5679.11658284957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13581.5246824003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.113770885241,1699.53594854504,0.0,0.0
Afghanistan,1761,128.648706002775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452.197577982302,145.684966147637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148460.606727202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5702.214425184689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13636.7628362941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.247578263929,1706.44822315847,0.0,0.0
Afghanistan,1762,129.169714850496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.073916480153,146.274969410797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149061.85093747202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5725.307577532911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13691.9897741526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.381385642617,1713.3590942435198,0.0,0.0
Afghanistan,1763,129.690617886561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455.950254978007,146.86485285022798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149662.973041091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5748.39603989419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13747.2054959755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.515193021306,1720.26856180017,0.0,0.0
Afghanistan,1764,130.21141511097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,457.826593475858,147.454616465932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150263.973038059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5771.47981226853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13802.4100017628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.64900039999503,1727.17662582842,0.0,0.0
Afghanistan,1765,130.732106523723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459.70293197371,148.044260257908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150864.850928376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5794.55889465592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13857.6032915146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.78280777868304,1734.08328632827,0.0,0.0
Afghanistan,1766,131.252692124819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.579270471561,148.633784226155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151465.606712041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5817.633287056329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13912.7853652308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.916615157371,1740.98854329971,0.0,0.0
Afghanistan,1767,131.77317191426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463.455608969412,149.22318837067598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152066.24038905598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5840.70298946984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13967.9562229116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.050422536059,1747.89239674276,0.0,0.0
Afghanistan,1768,132.29354589204502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.3319474672661,149.812472691468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152666.75195941998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5863.76800189642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14023.1158645568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.184229914749,1754.7948466574098,0.0,0.0
Afghanistan,1769,132.813814058173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.208285965117,150.401637188532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153267.14142313198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5886.828324336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14078.2642901663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.31803729343704,1761.69589304366,0.0,0.0
Afghanistan,1770,133.333976412646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469.084624462969,150.99068186187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153867.408780194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5909.88395678869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14133.4014997405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.45184467212596,1768.59553590151,0.0,0.0
Afghanistan,1771,133.874988169289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,471.039143731564,151.603336912207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154491.73634735998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5933.86371638968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14190.7487459446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.632894024927,1775.77173362255,0.0,0.0
Afghanistan,1772,134.415879208268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472.99366300016,152.215855258886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155115.924606341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5957.83812531107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14248.0831960764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.81394337772696,1782.94633009589,0.0,0.0
Afghanistan,1773,134.956649529585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474.948182268756,152.828236901909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155739.97355714103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5981.80718355297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14305.404850136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286.994992730527,1790.11932532158,0.0,0.0
